nama,pengolahan,sumber
ganja,ekstraksi senyawa aktif dari daun atau bunga menggunakan pelarut (etanol/air) dalam penelitian farmakologi,"Srivastava et al., 2020 – On the Inhibition of COVID-19 Protease by Indian Herbal Plants (arXiv)"
jambu biji,daun dicuci lalu direbus dalam air untuk menghasilkan air rebusan yang digunakan sebagai ekstrak herbal,"Darmawan, 2021 – Pengaruh Air Rebusan Daun Jambu Biji terhadap Glukosa Darah (Jurnal STIKes William Booth) :contentReference[oaicite:0]{index=0}"
jati blanda,daun dikeringkan kemudian dibuat seduhan atau rebusan untuk konsumsi herbal tradisional,"Departemen Kesehatan RI – Materia Medika Indonesia (tanaman obat)"
jungrahab,daun digunakan sebagai ekstrak air atau rebusan dalam praktik pengobatan tradisional,"Materia Medika Indonesia – Tanaman Obat"
katuk,daun segar dimasak atau direbus untuk dikonsumsi sebagai sayuran atau ekstrak air,"WHO Traditional Medicine Monographs / penelitian nutrisi Sauropus androgynus"
keji beling,daun direbus dalam air untuk menghasilkan ramuan herbal sebagai diuretik,"Materia Medika Indonesia – Tanaman Obat Indonesia"
kemuning,daun direbus atau dibuat ekstrak air untuk ramuan herbal,"Materia Medika Indonesia – Tanaman Obat"
koka,daun secara tradisional dikeringkan lalu diseduh atau dikunyah; penggunaan medis sangat dibatasi,"WHO – Coca leaf traditional use documentation"
kumis kucing,daun dicuci lalu direbus atau diseduh sebagai teh herbal (Java tea) selama 10–15 menit lalu disaring,"GlobinMed Herbal Monograph – Orthosiphon aristatus :contentReference[oaicite:1]{index=1}"
saga,daun direbus atau diseduh sebagai air herbal untuk konsumsi tradisional,"Materia Medika Indonesia – Tanaman Obat"
salam,daun direbus untuk menghasilkan air rebusan yang digunakan sebagai ramuan herbal,"Materia Medika Indonesia – Tanaman Obat Indonesia"
seledri,daun dapat dibuat jus atau direbus untuk menghasilkan ekstrak air,"WHO Medicinal Plants Monograph"
sereh,batang atau daun direbus dalam air sebagai infus herbal,"WHO Monographs on Selected Medicinal Plants – Cymbopogon citratus"
sirih,daun dicuci lalu direbus untuk menghasilkan air rebusan yang digunakan sebagai terapi tradisional,"Kurniawan & Dianto, 2023 – Pengaruh Rebusan Daun Sirih terhadap Tekanan Darah :contentReference[oaicite:2]{index=2}"
sirsak,daun direbus dalam air untuk menghasilkan ekstrak herbal,"penelitian terapi herbal pada rebusan daun sirsak dalam pengobatan tradisional :contentReference[oaicite:3]{index=3}"
tapak liman,daun atau seluruh tanaman direbus atau dibuat ekstrak air,"Materia Medika Indonesia – Tanaman Obat"
teh,daun kering diseduh dengan air panas untuk menghasilkan infus teh,"WHO Monographs on Camellia sinensis"
tempuyung,daun direbus dalam air untuk menghasilkan ramuan herbal diuretik,"Materia Medika Indonesia – Tanaman Obat Indonesia"
urang aring,daun direbus atau dibuat ekstrak minyak untuk penggunaan herbal rambut,"Materia Medika Indonesia – Tanaman Obat Indonesia"